NDVI,date,latitude,longitude
0.3712,2010-01-01,15.8,76.57
0.3294,2010-01-17,15.8,76.57
0.2932,2010-02-02,15.8,76.57
0.3007,2010-02-18,15.8,76.57
0.2558,2010-03-06,15.8,76.57
0.2368,2010-03-22,15.8,76.57
0.2202,2010-04-07,15.8,76.57
0.2134,2010-04-23,15.8,76.57
0.2174,2010-05-09,15.8,76.57
0.2085,2010-05-25,15.8,76.57
0.2543,2010-06-10,15.8,76.57
0.2464,2010-06-26,15.8,76.57
0.1248,2010-07-12,15.8,76.57
0.2434,2010-07-28,15.8,76.57
0.2822,2010-08-13,15.8,76.57
0.1372,2010-08-29,15.8,76.57
0.3153,2010-09-14,15.8,76.57
0.4225,2010-09-30,15.8,76.57
0.4088,2010-10-16,15.8,76.57
0.163,2010-11-01,15.8,76.57
0.4005,2010-11-17,15.8,76.57
0.3843,2010-12-03,15.8,76.57
0.3387,2010-12-19,15.8,76.57
0.3586,2011-01-01,15.8,76.57
0.3079,2011-01-17,15.8,76.57
0.2892,2011-02-02,15.8,76.57
0.263,2011-02-18,15.8,76.57
0.2478,2011-03-06,15.8,76.57
0.2626,2011-03-22,15.8,76.57
0.2636,2011-04-07,15.8,76.57
0.2445,2011-04-23,15.8,76.57
0.2319,2011-05-09,15.8,76.57
0.236,2011-05-25,15.8,76.57
0.2414,2011-06-10,15.8,76.57
0.1528,2011-06-26,15.8,76.57
0.1748,2011-07-12,15.8,76.57
0.1626,2011-07-28,15.8,76.57
0.257,2011-08-13,15.8,76.57
0.1898,2011-08-29,15.8,76.57
0.3107,2011-09-14,15.8,76.57
0.3545,2011-09-30,15.8,76.57
0.3742,2011-10-16,15.8,76.57
0.3119,2011-11-01,15.8,76.57
0.2978,2011-11-17,15.8,76.57
0.2803,2011-12-03,15.8,76.57
0.2866,2011-12-19,15.8,76.57
0.2817,2012-01-01,15.8,76.57
0.2491,2012-01-17,15.8,76.57
0.257,2012-02-02,15.8,76.57
0.2542,2012-02-18,15.8,76.57
0.2456,2012-03-05,15.8,76.57
0.2479,2012-03-21,15.8,76.57
0.2559,2012-04-06,15.8,76.57
0.2202,2012-04-22,15.8,76.57
0.2394,2012-05-08,15.8,76.57
0.2231,2012-05-24,15.8,76.57
0.2365,2012-06-09,15.8,76.57
0.2263,2012-06-25,15.8,76.57
0.2189,2012-07-11,15.8,76.57
0.1244,2012-07-27,15.8,76.57
0.23,2012-08-12,15.8,76.57
0.1749,2012-08-28,15.8,76.57
0.3142,2012-09-13,15.8,76.57
0.322,2012-09-29,15.8,76.57
0.3501,2012-10-15,15.8,76.57
0.4151,2012-10-31,15.8,76.57
0.3682,2012-11-16,15.8,76.57
0.3198,2012-12-02,15.8,76.57
0.2945,2012-12-18,15.8,76.57
0.2779,2013-01-01,15.8,76.57
0.2658,2013-01-17,15.8,76.57
0.2596,2013-02-02,15.8,76.57
0.2612,2013-02-18,15.8,76.57
0.2577,2013-03-06,15.8,76.57
0.2484,2013-03-22,15.8,76.57
0.2392,2013-04-07,15.8,76.57
0.2191,2013-04-23,15.8,76.57
0.2218,2013-05-09,15.8,76.57
0.2272,2013-05-25,15.8,76.57
0.2137,2013-06-10,15.8,76.57
0.218,2013-06-26,15.8,76.57
0.1803,2013-07-12,15.8,76.57
0.1054,2013-07-28,15.8,76.57
0.3094,2013-08-13,15.8,76.57
0.32,2013-08-29,15.8,76.57
0.3228,2013-09-14,15.8,76.57
0.4523,2013-09-30,15.8,76.57
0.4358,2013-10-16,15.8,76.57
0.4641,2013-11-01,15.8,76.57
0.4278,2013-11-17,15.8,76.57
0.4096,2013-12-03,15.8,76.57
0.3146,2013-12-19,15.8,76.57
0.2886,2014-01-01,15.8,76.57
0.2833,2014-01-17,15.8,76.57
0.2558,2014-02-02,15.8,76.57
0.2633,2014-02-18,15.8,76.57
0.2592,2014-03-06,15.8,76.57
0.2427,2014-03-22,15.8,76.57
0.2504,2014-04-07,15.8,76.57
0.2472,2014-04-23,15.8,76.57
0.2085,2014-05-09,15.8,76.57
0.2493,2014-05-25,15.8,76.57
