NDVI,date,latitude,longitude
0.4591,2010-01-01,16.13,76.57
0.4383,2010-01-17,16.13,76.57
0.3461,2010-02-02,16.13,76.57
0.3061,2010-02-18,16.13,76.57
0.2797,2010-03-06,16.13,76.57
0.2608,2010-03-22,16.13,76.57
0.2507,2010-04-07,16.13,76.57
0.2377,2010-04-23,16.13,76.57
0.2423,2010-05-09,16.13,76.57
0.2594,2010-05-25,16.13,76.57
0.24,2010-06-10,16.13,76.57
0.3165,2010-06-26,16.13,76.57
0.3183,2010-07-12,16.13,76.57
0.1016,2010-07-28,16.13,76.57
0.5539,2010-08-13,16.13,76.57
0.2994,2010-08-29,16.13,76.57
0.5281,2010-09-14,16.13,76.57
0.5739,2010-09-30,16.13,76.57
0.6341,2010-10-16,16.13,76.57
0.693,2010-11-01,16.13,76.57
0.5424,2010-11-17,16.13,76.57
0.4933,2010-12-03,16.13,76.57
0.4243,2010-12-19,16.13,76.57
0.3746,2011-01-01,16.13,76.57
0.328,2011-01-17,16.13,76.57
0.3138,2011-02-02,16.13,76.57
0.2744,2011-02-18,16.13,76.57
0.2632,2011-03-06,16.13,76.57
0.2543,2011-03-22,16.13,76.57
0.2436,2011-04-07,16.13,76.57
0.2582,2011-04-23,16.13,76.57
0.2635,2011-05-09,16.13,76.57
0.2753,2011-05-25,16.13,76.57
0.3079,2011-06-10,16.13,76.57
0.3721,2011-06-26,16.13,76.57
0.2408,2011-07-12,16.13,76.57
0.3146,2011-07-28,16.13,76.57
0.7725,2011-08-13,16.13,76.57
0.307,2011-08-29,16.13,76.57
0.3609,2011-09-14,16.13,76.57
0.5045,2011-09-30,16.13,76.57
0.4121,2011-10-16,16.13,76.57
0.3943,2011-11-01,16.13,76.57
0.3804,2011-11-17,16.13,76.57
0.3494,2011-12-03,16.13,76.57
0.3538,2011-12-19,16.13,76.57
0.3398,2012-01-01,16.13,76.57
0.2907,2012-01-17,16.13,76.57
0.2516,2012-02-02,16.13,76.57
0.2467,2012-02-18,16.13,76.57
0.2404,2012-03-05,16.13,76.57
0.2366,2012-03-21,16.13,76.57
0.2631,2012-04-06,16.13,76.57
0.2333,2012-04-22,16.13,76.57
0.2627,2012-05-08,16.13,76.57
0.2392,2012-05-24,16.13,76.57
0.2455,2012-06-09,16.13,76.57
0.1057,2012-06-25,16.13,76.57
0.2846,2012-07-11,16.13,76.57
0.3074,2012-07-27,16.13,76.57
0.3207,2012-08-12,16.13,76.57
0.2376,2012-08-28,16.13,76.57
0.5178,2012-09-13,16.13,76.57
0.5323,2012-09-29,16.13,76.57
0.5186,2012-10-15,16.13,76.57
0.5373,2012-10-31,16.13,76.57
0.5507,2012-11-16,16.13,76.57
0.4521,2012-12-02,16.13,76.57
0.4394,2012-12-18,16.13,76.57
0.3606,2013-01-01,16.13,76.57
0.3049,2013-01-17,16.13,76.57
0.2945,2013-02-02,16.13,76.57
0.287,2013-02-18,16.13,76.57
0.2571,2013-03-06,16.13,76.57
0.2502,2013-03-22,16.13,76.57
0.2567,2013-04-07,16.13,76.57
0.2512,2013-04-23,16.13,76.57
0.272,2013-05-09,16.13,76.57
0.2651,2013-05-25,16.13,76.57
0.3024,2013-06-10,16.13,76.57
0.0636,2013-06-26,16.13,76.57
0.2943,2013-07-12,16.13,76.57
0.2837,2013-07-28,16.13,76.57
0.4084,2013-08-13,16.13,76.57
0.2268,2013-08-29,16.13,76.57
0.6051,2013-09-14,16.13,76.57
0.6752,2013-09-30,16.13,76.57
0.6228,2013-10-16,16.13,76.57
0.6397,2013-11-01,16.13,76.57
0.6357,2013-11-17,16.13,76.57
0.5825,2013-12-03,16.13,76.57
0.4563,2013-12-19,16.13,76.57
0.4144,2014-01-01,16.13,76.57
0.3938,2014-01-17,16.13,76.57
0.3118,2014-02-02,16.13,76.57
0.3021,2014-02-18,16.13,76.57
0.2955,2014-03-06,16.13,76.57
0.2949,2014-03-22,16.13,76.57
0.2901,2014-04-07,16.13,76.57
0.2746,2014-04-23,16.13,76.57
0.2551,2014-05-09,16.13,76.57
0.2924,2014-05-25,16.13,76.57
0.2417,2014-06-10,16.13,76.57
0.2408,2014-06-26,16.13,76.57
0.054,2014-07-12,16.13,76.57
0.3032,2014-07-28,16.13,76.57
0.2201,2014-08-13,16.13,76.57
0.4563,2014-08-29,16.13,76.57
0.2697,2014-09-14,16.13,76.57
0.4421,2014-09-30,16.13,76.57
0.4082,2014-10-16,16.13,76.57
0.513,2014-11-01,16.13,76.57
0.5595,2014-11-17,16.13,76.57
0.5508,2014-12-03,16.13,76.57
0.5143,2014-12-19,16.13,76.57
0.4238,2015-01-01,16.13,76.57
0.3435,2015-01-17,16.13,76.57
0.3055,2015-02-02,16.13,76.57
0.2691,2015-02-18,16.13,76.57
0.2896,2015-03-06,16.13,76.57
0.2652,2015-03-22,16.13,76.57
0.2674,2015-04-07,16.13,76.57
0.2556,2015-04-23,16.13,76.57
0.2839,2015-05-09,16.13,76.57
0.264,2015-05-25,16.13,76.57
0.2871,2015-06-10,16.13,76.57
0.2766,2015-06-26,16.13,76.57
0.2687,2015-07-12,16.13,76.57
0.2247,2015-07-28,16.13,76.57
0.3072,2015-08-13,16.13,76.57
0.2716,2015-08-29,16.13,76.57
0.3374,2015-09-14,16.13,76.57
0.4326,2015-09-30,16.13,76.57
0.4496,2015-10-16,16.13,76.57
0.4806,2015-11-01,16.13,76.57
0.507,2015-11-17,16.13,76.57
0.4894,2015-12-03,16.13,76.57
0.408,2015-12-19,16.13,76.57
0.3471,2016-01-01,16.13,76.57
0.2996,2016-01-17,16.13,76.57
0.2514,2016-02-02,16.13,76.57
0.2527,2016-02-18,16.13,76.57
0.2515,2016-03-05,16.13,76.57
0.2484,2016-03-21,16.13,76.57
0.2423,2016-04-06,16.13,76.57
0.2404,2016-04-22,16.13,76.57
0.2381,2016-05-08,16.13,76.57
0.2445,2016-05-24,16.13,76.57
0.2187,2016-06-09,16.13,76.57
0.247,2016-06-25,16.13,76.57
0.2548,2016-07-11,16.13,76.57
0.1573,2016-07-27,16.13,76.57
0.4369,2016-08-12,16.13,76.57
0.4154,2016-08-28,16.13,76.57
0.0599,2016-09-13,16.13,76.57
0.5771,2016-09-29,16.13,76.57
0.4919,2016-10-15,16.13,76.57
0.4345,2016-10-31,16.13,76.57
0.3822,2016-11-16,16.13,76.57
0.3489,2016-12-02,16.13,76.57
0.307,2016-12-18,16.13,76.57
0.3051,2017-01-01,16.13,76.57
0.2794,2017-01-17,16.13,76.57
0.2732,2017-02-02,16.13,76.57
0.2632,2017-02-18,16.13,76.57
0.2601,2017-03-06,16.13,76.57
0.2614,2017-03-22,16.13,76.57
0.25,2017-04-07,16.13,76.57
0.2335,2017-04-23,16.13,76.57
0.2621,2017-05-09,16.13,76.57
0.2423,2017-05-25,16.13,76.57
0.3082,2017-06-10,16.13,76.57
0.1737,2017-06-26,16.13,76.57
0.2269,2017-07-12,16.13,76.57
0.2941,2017-07-28,16.13,76.57
0.2783,2017-08-13,16.13,76.57
0.2597,2017-08-29,16.13,76.57
0.4532,2017-09-14,16.13,76.57
0.2725,2017-09-30,16.13,76.57
0.5006,2017-10-16,16.13,76.57
0.4621,2017-11-01,16.13,76.57
0.4664,2017-11-17,16.13,76.57
0.5399,2017-12-03,16.13,76.57
0.4907,2017-12-19,16.13,76.57
0.4893,2018-01-01,16.13,76.57
0.4057,2018-01-17,16.13,76.57
0.3185,2018-02-02,16.13,76.57
0.273,2018-02-18,16.13,76.57
0.2967,2018-03-06,16.13,76.57
0.2737,2018-03-22,16.13,76.57
0.2919,2018-04-07,16.13,76.57
0.2606,2018-04-23,16.13,76.57
0.2503,2018-05-09,16.13,76.57
0.272,2018-05-25,16.13,76.57
0.1841,2018-06-10,16.13,76.57
0.2305,2018-06-26,16.13,76.57
0.0823,2018-07-12,16.13,76.57
0.2402,2018-07-28,16.13,76.57
0.2058,2018-08-13,16.13,76.57
0.3347,2018-08-29,16.13,76.57
0.3232,2018-09-14,16.13,76.57
0.306,2018-09-30,16.13,76.57
0.3472,2018-10-16,16.13,76.57
0.3844,2018-11-01,16.13,76.57
0.4253,2018-11-17,16.13,76.57
0.4206,2018-12-03,16.13,76.57
0.3771,2018-12-19,16.13,76.57
0.3923,2019-01-01,16.13,76.57
0.3328,2019-01-17,16.13,76.57
0.2931,2019-02-02,16.13,76.57
0.2745,2019-02-18,16.13,76.57
0.2685,2019-03-06,16.13,76.57
0.2576,2019-03-22,16.13,76.57
0.2966,2019-04-07,16.13,76.57
0.2604,2019-04-23,16.13,76.57
0.2472,2019-05-09,16.13,76.57
0.2248,2019-05-25,16.13,76.57
0.2103,2019-06-10,16.13,76.57
0.1076,2019-06-26,16.13,76.57
0.2562,2019-07-12,16.13,76.57
0.1812,2019-07-28,16.13,76.57
0.3277,2019-08-13,16.13,76.57
0.2577,2019-08-29,16.13,76.57
0.474,2019-09-14,16.13,76.57
0.4914,2019-09-30,16.13,76.57
0.6332,2019-10-16,16.13,76.57
0.6343,2019-11-01,16.13,76.57
0.6614,2019-11-17,16.13,76.57
0.5816,2019-12-03,16.13,76.57
0.5391,2019-12-19,16.13,76.57
0.5391,2020-01-01,16.13,76.57
0.3934,2020-01-17,16.13,76.57
0.3607,2020-02-02,16.13,76.57
0.3103,2020-02-18,16.13,76.57
0.2938,2020-03-05,16.13,76.57
0.2654,2020-03-21,16.13,76.57
0.31,2020-04-06,16.13,76.57
0.2731,2020-04-22,16.13,76.57
0.2624,2020-05-08,16.13,76.57
0.2593,2020-05-24,16.13,76.57
0.2149,2020-06-09,16.13,76.57
0.3229,2020-06-25,16.13,76.57
0.171,2020-07-11,16.13,76.57
0.2846,2020-07-27,16.13,76.57
0.2274,2020-08-12,16.13,76.57
0.3795,2020-08-28,16.13,76.57
0.092,2020-09-13,16.13,76.57
0.5786,2020-09-29,16.13,76.57
0.6772,2020-10-15,16.13,76.57
0.6528,2020-10-31,16.13,76.57
0.6023,2020-11-16,16.13,76.57
0.575,2020-12-02,16.13,76.57
0.5446,2020-12-18,16.13,76.57
0.4884,2021-01-01,16.13,76.57
0.41,2021-01-17,16.13,76.57
0.327,2021-02-02,16.13,76.57
0.3056,2021-02-18,16.13,76.57
0.3106,2021-03-06,16.13,76.57
0.2772,2021-03-22,16.13,76.57
0.2922,2021-04-07,16.13,76.57
0.287,2021-04-23,16.13,76.57
0.2923,2021-05-09,16.13,76.57
0.3155,2021-05-25,16.13,76.57
0.3218,2021-06-10,16.13,76.57
0.3996,2021-06-26,16.13,76.57
0.311,2021-07-12,16.13,76.57
0.2654,2021-07-28,16.13,76.57
0.5413,2021-08-13,16.13,76.57
0.2551,2021-08-29,16.13,76.57
0.6629,2021-09-14,16.13,76.57
0.7133,2021-09-30,16.13,76.57
