NDVI,date,latitude,longitude
0.3657,2010-01-01,16.12,76.71
0.3418,2010-01-17,16.12,76.71
0.2831,2010-02-02,16.12,76.71
0.273,2010-02-18,16.12,76.71
0.2543,2010-03-06,16.12,76.71
0.2429,2010-03-22,16.12,76.71
0.2397,2010-04-07,16.12,76.71
0.2273,2010-04-23,16.12,76.71
0.2459,2010-05-09,16.12,76.71
0.2818,2010-05-25,16.12,76.71
0.3756,2010-06-10,16.12,76.71
0.4145,2010-06-26,16.12,76.71
0.2862,2010-07-12,16.12,76.71
0.4153,2010-07-28,16.12,76.71
0.587,2010-08-13,16.12,76.71
0.3491,2010-08-29,16.12,76.71
0.463,2010-09-14,16.12,76.71
0.4546,2010-09-30,16.12,76.71
0.552,2010-10-16,16.12,76.71
0.5111,2010-11-01,16.12,76.71
0.3976,2010-11-17,16.12,76.71
0.3912,2010-12-03,16.12,76.71
0.3671,2010-12-19,16.12,76.71
0.3114,2011-01-01,16.12,76.71
0.2886,2011-01-17,16.12,76.71
0.2691,2011-02-02,16.12,76.71
0.2581,2011-02-18,16.12,76.71
0.2421,2011-03-06,16.12,76.71
0.2534,2011-03-22,16.12,76.71
0.2509,2011-04-07,16.12,76.71
0.2842,2011-04-23,16.12,76.71
0.2647,2011-05-09,16.12,76.71
0.2991,2011-05-25,16.12,76.71
0.4184,2011-06-10,16.12,76.71
0.3707,2011-06-26,16.12,76.71
0.2224,2011-07-12,16.12,76.71
0.2868,2011-07-28,16.12,76.71
0.3429,2011-08-13,16.12,76.71
0.3019,2011-08-29,16.12,76.71
0.4914,2011-09-14,16.12,76.71
0.4682,2011-09-30,16.12,76.71
0.4006,2011-10-16,16.12,76.71
0.3333,2011-11-01,16.12,76.71
0.3009,2011-11-17,16.12,76.71
0.2921,2011-12-03,16.12,76.71
0.2535,2011-12-19,16.12,76.71
0.2586,2012-01-01,16.12,76.71
0.2496,2012-01-17,16.12,76.71
0.2331,2012-02-02,16.12,76.71
0.2307,2012-02-18,16.12,76.71
0.2257,2012-03-05,16.12,76.71
0.2195,2012-03-21,16.12,76.71
0.2369,2012-04-06,16.12,76.71
0.2331,2012-04-22,16.12,76.71
0.29,2012-05-08,16.12,76.71
0.265,2012-05-24,16.12,76.71
0.266,2012-06-09,16.12,76.71
0.3267,2012-06-25,16.12,76.71
0.311,2012-07-11,16.12,76.71
0.171,2012-07-27,16.12,76.71
0.3309,2012-08-12,16.12,76.71
0.1303,2012-08-28,16.12,76.71
0.4153,2012-09-13,16.12,76.71
