NDVI,date,latitude,longitude
0.5262,2010-01-01,16.16,77.1
0.4743,2010-01-17,16.16,77.1
0.3336,2010-02-02,16.16,77.1
0.3309,2010-02-18,16.16,77.1
0.2852,2010-03-06,16.16,77.1
0.2941,2010-03-22,16.16,77.1
0.281,2010-04-07,16.16,77.1
0.2597,2010-04-23,16.16,77.1
0.2761,2010-05-09,16.16,77.1
0.2516,2010-05-25,16.16,77.1
0.2549,2010-06-10,16.16,77.1
0.1997,2010-06-26,16.16,77.1
0.2565,2010-07-12,16.16,77.1
0.4176,2010-07-28,16.16,77.1
0.4885,2010-08-13,16.16,77.1
0.5205,2010-08-29,16.16,77.1
0.6306,2010-09-14,16.16,77.1
0.6547,2010-09-30,16.16,77.1
0.7347,2010-10-16,16.16,77.1
0.6043,2010-11-01,16.16,77.1
0.6606,2010-11-17,16.16,77.1
0.6198,2010-12-03,16.16,77.1
0.5937,2010-12-19,16.16,77.1
0.4615,2011-01-01,16.16,77.1
0.503,2011-01-17,16.16,77.1
0.4343,2011-02-02,16.16,77.1
0.4042,2011-02-18,16.16,77.1
0.3828,2011-03-06,16.16,77.1
0.3753,2011-03-22,16.16,77.1
0.3244,2011-04-07,16.16,77.1
0.36,2011-04-23,16.16,77.1
0.2552,2011-05-09,16.16,77.1
0.2841,2011-05-25,16.16,77.1
0.2748,2011-06-10,16.16,77.1
0.1533,2011-06-26,16.16,77.1
0.1378,2011-07-12,16.16,77.1
0.1241,2011-07-28,16.16,77.1
0.0735,2011-08-13,16.16,77.1
0.1082,2011-08-29,16.16,77.1
0.4391,2011-09-14,16.16,77.1
0.4626,2011-09-30,16.16,77.1
0.6923,2011-10-16,16.16,77.1
0.7201,2011-11-01,16.16,77.1
0.7118,2011-11-17,16.16,77.1
0.6859,2011-12-03,16.16,77.1
0.604,2011-12-19,16.16,77.1
0.604,2012-01-01,16.16,77.1
0.4241,2012-01-17,16.16,77.1
0.3407,2012-02-02,16.16,77.1
0.285,2012-02-18,16.16,77.1
0.245,2012-03-05,16.16,77.1
0.2501,2012-03-21,16.16,77.1
0.2689,2012-04-06,16.16,77.1
0.2309,2012-04-22,16.16,77.1
0.2545,2012-05-08,16.16,77.1
0.2243,2012-05-24,16.16,77.1
0.2268,2012-06-09,16.16,77.1
0.1614,2012-06-25,16.16,77.1
0.2544,2012-07-11,16.16,77.1
0.2784,2012-07-27,16.16,77.1
0.077,2012-08-12,16.16,77.1
0.2884,2012-08-28,16.16,77.1
0.5935,2012-09-13,16.16,77.1
0.6885,2012-09-29,16.16,77.1
0.6747,2012-10-15,16.16,77.1
0.7253,2012-10-31,16.16,77.1
0.7191,2012-11-16,16.16,77.1
0.662,2012-12-02,16.16,77.1
0.6215,2012-12-18,16.16,77.1
0.5429,2013-01-01,16.16,77.1
0.5532,2013-01-17,16.16,77.1
0.4499,2013-02-02,16.16,77.1
0.5177,2013-02-18,16.16,77.1
0.3894,2013-03-06,16.16,77.1
0.3207,2013-03-22,16.16,77.1
0.2956,2013-04-07,16.16,77.1
0.2586,2013-04-23,16.16,77.1
0.2352,2013-05-09,16.16,77.1
0.2998,2013-05-25,16.16,77.1
0.1508,2013-06-10,16.16,77.1
0.0595,2013-06-26,16.16,77.1
0.2526,2013-07-12,16.16,77.1
0.3371,2013-07-28,16.16,77.1
0.4211,2013-08-13,16.16,77.1
0.5706,2013-08-29,16.16,77.1
0.5914,2013-09-14,16.16,77.1
0.7221,2013-09-30,16.16,77.1
0.7524,2013-10-16,16.16,77.1
0.7189,2013-11-01,16.16,77.1
0.6749,2013-11-17,16.16,77.1
0.5484,2013-12-03,16.16,77.1
0.5217,2013-12-19,16.16,77.1
0.5554,2014-01-01,16.16,77.1
0.5549,2014-01-17,16.16,77.1
0.4872,2014-02-02,16.16,77.1
0.4254,2014-02-18,16.16,77.1
0.468,2014-03-06,16.16,77.1
0.3997,2014-03-22,16.16,77.1
0.3871,2014-04-07,16.16,77.1
0.2496,2014-04-23,16.16,77.1
0.3015,2014-05-09,16.16,77.1
0.2758,2014-05-25,16.16,77.1
0.2598,2014-06-10,16.16,77.1
0.2836,2014-06-26,16.16,77.1
0.0484,2014-07-12,16.16,77.1
0.184,2014-07-28,16.16,77.1
0.2298,2014-08-13,16.16,77.1
0.4839,2014-08-29,16.16,77.1
0.6152,2014-09-14,16.16,77.1
0.6423,2014-09-30,16.16,77.1
0.7256,2014-10-16,16.16,77.1
0.7043,2014-11-01,16.16,77.1
0.6147,2014-11-17,16.16,77.1
0.5361,2014-12-03,16.16,77.1
0.5315,2014-12-19,16.16,77.1
0.5133,2015-01-01,16.16,77.1
0.5623,2015-01-17,16.16,77.1
0.4923,2015-02-02,16.16,77.1
0.3987,2015-02-18,16.16,77.1
0.3729,2015-03-06,16.16,77.1
0.3483,2015-03-22,16.16,77.1
0.2829,2015-04-07,16.16,77.1
0.2535,2015-04-23,16.16,77.1
0.2846,2015-05-09,16.16,77.1
0.259,2015-05-25,16.16,77.1
