NDVI,date,latitude,longitude
0.2914,2010-01-01,16.23,76.97
0.2764,2010-01-17,16.23,76.97
0.2683,2010-02-02,16.23,76.97
0.2412,2010-02-18,16.23,76.97
0.2219,2010-03-06,16.23,76.97
0.1991,2010-03-22,16.23,76.97
0.2373,2010-04-07,16.23,76.97
0.2411,2010-04-23,16.23,76.97
0.198,2010-05-09,16.23,76.97
0.2188,2010-05-25,16.23,76.97
0.3043,2010-06-10,16.23,76.97
0.3467,2010-06-26,16.23,76.97
0.2689,2010-07-12,16.23,76.97
0.4237,2010-07-28,16.23,76.97
0.6018,2010-08-13,16.23,76.97
0.6076,2010-08-29,16.23,76.97
0.52,2010-09-14,16.23,76.97
0.4624,2010-09-30,16.23,76.97
0.5046,2010-10-16,16.23,76.97
0.5685,2010-11-01,16.23,76.97
0.4159,2010-11-17,16.23,76.97
0.385,2010-12-03,16.23,76.97
0.3618,2010-12-19,16.23,76.97
0.3312,2011-01-01,16.23,76.97
0.361,2011-01-17,16.23,76.97
0.2883,2011-02-02,16.23,76.97
0.2358,2011-02-18,16.23,76.97
0.2597,2011-03-06,16.23,76.97
0.251,2011-03-22,16.23,76.97
0.2313,2011-04-07,16.23,76.97
0.2449,2011-04-23,16.23,76.97
0.1954,2011-05-09,16.23,76.97
0.2121,2011-05-25,16.23,76.97
0.2199,2011-06-10,16.23,76.97
0.2537,2011-06-26,16.23,76.97
0.2988,2011-07-12,16.23,76.97
0.2435,2011-07-28,16.23,76.97
0.1641,2011-08-13,16.23,76.97
0.2973,2011-08-29,16.23,76.97
0.4959,2011-09-14,16.23,76.97
0.4216,2011-09-30,16.23,76.97
0.3543,2011-10-16,16.23,76.97
0.331,2011-11-01,16.23,76.97
0.3251,2011-11-17,16.23,76.97
0.2632,2011-12-03,16.23,76.97
0.227,2011-12-19,16.23,76.97
0.2133,2012-01-01,16.23,76.97
0.2287,2012-01-17,16.23,76.97
0.2402,2012-02-02,16.23,76.97
0.208,2012-02-18,16.23,76.97
0.1904,2012-03-05,16.23,76.97
0.1922,2012-03-21,16.23,76.97
0.205,2012-04-06,16.23,76.97
0.2048,2012-04-22,16.23,76.97
0.2091,2012-05-08,16.23,76.97
0.1935,2012-05-24,16.23,76.97
0.1879,2012-06-09,16.23,76.97
0.218,2012-06-25,16.23,76.97
