NDVI,date,latitude,longitude
0.4778,2010-01-01,16.4,77.17
0.4395,2010-01-17,16.4,77.17
0.2863,2010-02-02,16.4,77.17
0.2754,2010-02-18,16.4,77.17
0.3207,2010-03-06,16.4,77.17
0.2955,2010-03-22,16.4,77.17
0.258,2010-04-07,16.4,77.17
0.2931,2010-04-23,16.4,77.17
0.2649,2010-05-09,16.4,77.17
0.2663,2010-05-25,16.4,77.17
0.2916,2010-06-10,16.4,77.17
0.3061,2010-06-26,16.4,77.17
0.3768,2010-07-12,16.4,77.17
0.1847,2010-07-28,16.4,77.17
0.4697,2010-08-13,16.4,77.17
0.2433,2010-08-29,16.4,77.17
0.4459,2010-09-14,16.4,77.17
0.4947,2010-09-30,16.4,77.17
0.5645,2010-10-16,16.4,77.17
0.5236,2010-11-01,16.4,77.17
0.4846,2010-11-17,16.4,77.17
0.464,2010-12-03,16.4,77.17
0.4586,2010-12-19,16.4,77.17
0.4298,2011-01-01,16.4,77.17
0.3807,2011-01-17,16.4,77.17
0.3256,2011-02-02,16.4,77.17
0.3113,2011-02-18,16.4,77.17
0.3104,2011-03-06,16.4,77.17
0.3486,2011-03-22,16.4,77.17
0.3227,2011-04-07,16.4,77.17
0.2891,2011-04-23,16.4,77.17
0.2816,2011-05-09,16.4,77.17
0.2623,2011-05-25,16.4,77.17
0.3386,2011-06-10,16.4,77.17
0.1922,2011-06-26,16.4,77.17
0.348,2011-07-12,16.4,77.17
0.3731,2011-07-28,16.4,77.17
0.4136,2011-08-13,16.4,77.17
0.5997,2011-08-29,16.4,77.17
0.4048,2011-09-14,16.4,77.17
0.4761,2011-09-30,16.4,77.17
0.4744,2011-10-16,16.4,77.17
0.4095,2011-11-01,16.4,77.17
0.3737,2011-11-17,16.4,77.17
0.3647,2011-12-03,16.4,77.17
0.3786,2011-12-19,16.4,77.17
0.3824,2012-01-01,16.4,77.17
0.3701,2012-01-17,16.4,77.17
0.3281,2012-02-02,16.4,77.17
0.3149,2012-02-18,16.4,77.17
0.3098,2012-03-05,16.4,77.17
0.3143,2012-03-21,16.4,77.17
0.343,2012-04-06,16.4,77.17
0.286,2012-04-22,16.4,77.17
0.3307,2012-05-08,16.4,77.17
0.2667,2012-05-24,16.4,77.17
0.2804,2012-06-09,16.4,77.17
0.2905,2012-06-25,16.4,77.17
0.3092,2012-07-11,16.4,77.17
0.2198,2012-07-27,16.4,77.17
0.1872,2012-08-12,16.4,77.17
0.2585,2012-08-28,16.4,77.17
0.4653,2012-09-13,16.4,77.17
0.4802,2012-09-29,16.4,77.17
0.4553,2012-10-15,16.4,77.17
0.4381,2012-10-31,16.4,77.17
0.4081,2012-11-16,16.4,77.17
0.4611,2012-12-02,16.4,77.17
0.4445,2012-12-18,16.4,77.17
0.4308,2013-01-01,16.4,77.17
0.3513,2013-01-17,16.4,77.17
0.3341,2013-02-02,16.4,77.17
0.3742,2013-02-18,16.4,77.17
0.3392,2013-03-06,16.4,77.17
0.3166,2013-03-22,16.4,77.17
0.2976,2013-04-07,16.4,77.17
0.286,2013-04-23,16.4,77.17
0.2408,2013-05-09,16.4,77.17
0.2769,2013-05-25,16.4,77.17
0.2678,2013-06-10,16.4,77.17
0.3333,2013-06-26,16.4,77.17
0.2865,2013-07-12,16.4,77.17
0.061,2013-07-28,16.4,77.17
0.2815,2013-08-13,16.4,77.17
0.566,2013-08-29,16.4,77.17
0.5289,2013-09-14,16.4,77.17
0.6346,2013-09-30,16.4,77.17
0.4414,2013-10-16,16.4,77.17
0.5256,2013-11-01,16.4,77.17
0.5339,2013-11-17,16.4,77.17
0.5146,2013-12-03,16.4,77.17
0.4017,2013-12-19,16.4,77.17
0.4119,2014-01-01,16.4,77.17
0.4126,2014-01-17,16.4,77.17
0.3682,2014-02-02,16.4,77.17
0.3639,2014-02-18,16.4,77.17
0.3616,2014-03-06,16.4,77.17
0.3692,2014-03-22,16.4,77.17
0.3521,2014-04-07,16.4,77.17
0.3079,2014-04-23,16.4,77.17
0.382,2014-05-09,16.4,77.17
0.42,2014-05-25,16.4,77.17
0.3648,2014-06-10,16.4,77.17
0.3865,2014-06-26,16.4,77.17
0.2671,2014-07-12,16.4,77.17
0.4242,2014-07-28,16.4,77.17
0.4465,2014-08-13,16.4,77.17
0.166,2014-08-29,16.4,77.17
0.563,2014-09-14,16.4,77.17
0.5307,2014-09-30,16.4,77.17
0.5088,2014-10-16,16.4,77.17
0.5123,2014-11-01,16.4,77.17
0.4522,2014-11-17,16.4,77.17
0.3959,2014-12-03,16.4,77.17
0.5224,2014-12-19,16.4,77.17
0.4069,2015-01-01,16.4,77.17
0.3466,2015-01-17,16.4,77.17
0.4072,2015-02-02,16.4,77.17
0.3576,2015-02-18,16.4,77.17
0.3695,2015-03-06,16.4,77.17
0.3458,2015-03-22,16.4,77.17
0.3268,2015-04-07,16.4,77.17
0.3218,2015-04-23,16.4,77.17
0.3361,2015-05-09,16.4,77.17
0.3037,2015-05-25,16.4,77.17
0.3679,2015-06-10,16.4,77.17
0.2994,2015-06-26,16.4,77.17
0.3139,2015-07-12,16.4,77.17
0.3396,2015-07-28,16.4,77.17
0.2434,2015-08-13,16.4,77.17
0.4198,2015-08-29,16.4,77.17
0.4892,2015-09-14,16.4,77.17
0.5557,2015-09-30,16.4,77.17
0.5361,2015-10-16,16.4,77.17
0.4965,2015-11-01,16.4,77.17
0.5088,2015-11-17,16.4,77.17
0.4731,2015-12-03,16.4,77.17
0.4042,2015-12-19,16.4,77.17
0.4576,2016-01-01,16.4,77.17
0.4035,2016-01-17,16.4,77.17
0.3805,2016-02-02,16.4,77.17
0.3454,2016-02-18,16.4,77.17
0.3158,2016-03-05,16.4,77.17
0.2897,2016-03-21,16.4,77.17
0.3081,2016-04-06,16.4,77.17
0.2851,2016-04-22,16.4,77.17
0.2986,2016-05-08,16.4,77.17
0.2844,2016-05-24,16.4,77.17
0.1766,2016-06-09,16.4,77.17
0.0987,2016-06-25,16.4,77.17
0.0689,2016-07-11,16.4,77.17
0.1424,2016-07-27,16.4,77.17
0.0652,2016-08-12,16.4,77.17
0.5257,2016-08-28,16.4,77.17
0.0522,2016-09-13,16.4,77.17
0.5812,2016-09-29,16.4,77.17
0.5374,2016-10-15,16.4,77.17
0.551,2016-10-31,16.4,77.17
0.5033,2016-11-16,16.4,77.17
0.4321,2016-12-02,16.4,77.17
0.4525,2016-12-18,16.4,77.17
0.4546,2017-01-01,16.4,77.17
0.3726,2017-01-17,16.4,77.17
0.4092,2017-02-02,16.4,77.17
0.358,2017-02-18,16.4,77.17
0.3289,2017-03-06,16.4,77.17
0.3431,2017-03-22,16.4,77.17
0.2987,2017-04-07,16.4,77.17
0.2782,2017-04-23,16.4,77.17
0.3264,2017-05-09,16.4,77.17
0.2744,2017-05-25,16.4,77.17
0.104,2017-06-10,16.4,77.17
0.3445,2017-06-26,16.4,77.17
0.4271,2017-07-12,16.4,77.17
0.3466,2017-07-28,16.4,77.17
0.2331,2017-08-13,16.4,77.17
0.5725,2017-08-29,16.4,77.17
0.671,2017-09-14,16.4,77.17
0.614,2017-09-30,16.4,77.17
0.7109,2017-10-16,16.4,77.17
0.6542,2017-11-01,16.4,77.17
0.6019,2017-11-17,16.4,77.17
0.5728,2017-12-03,16.4,77.17
0.5504,2017-12-19,16.4,77.17
0.537,2018-01-01,16.4,77.17
0.3561,2018-01-17,16.4,77.17
0.3857,2018-02-02,16.4,77.17
0.4415,2018-02-18,16.4,77.17
0.3518,2018-03-06,16.4,77.17
0.3414,2018-03-22,16.4,77.17
0.3425,2018-04-07,16.4,77.17
0.2828,2018-04-23,16.4,77.17
0.3044,2018-05-09,16.4,77.17
0.2619,2018-05-25,16.4,77.17
0.1872,2018-06-10,16.4,77.17
0.273,2018-06-26,16.4,77.17
0.0642,2018-07-12,16.4,77.17
0.2183,2018-07-28,16.4,77.17
0.1016,2018-08-13,16.4,77.17
0.379,2018-08-29,16.4,77.17
0.421,2018-09-14,16.4,77.17
0.5374,2018-09-30,16.4,77.17
0.5023,2018-10-16,16.4,77.17
0.4746,2018-11-01,16.4,77.17
0.4332,2018-11-17,16.4,77.17
0.3788,2018-12-03,16.4,77.17
0.4709,2018-12-19,16.4,77.17
0.4709,2019-01-01,16.4,77.17
0.4767,2019-01-17,16.4,77.17
0.3727,2019-02-02,16.4,77.17
0.3279,2019-02-18,16.4,77.17
0.3358,2019-03-06,16.4,77.17
0.3007,2019-03-22,16.4,77.17
0.3346,2019-04-07,16.4,77.17
0.2911,2019-04-23,16.4,77.17
0.3154,2019-05-09,16.4,77.17
0.3186,2019-05-25,16.4,77.17
0.2822,2019-06-10,16.4,77.17
0.2887,2019-06-26,16.4,77.17
0.4225,2019-07-12,16.4,77.17
0.5831,2019-07-28,16.4,77.17
0.4731,2019-08-13,16.4,77.17
0.63,2019-08-29,16.4,77.17
0.5162,2019-09-14,16.4,77.17
0.6749,2019-09-30,16.4,77.17
0.7075,2019-10-16,16.4,77.17
0.7282,2019-11-01,16.4,77.17
0.6691,2019-11-17,16.4,77.17
0.5498,2019-12-03,16.4,77.17
0.4975,2019-12-19,16.4,77.17
0.4956,2020-01-01,16.4,77.17
0.4945,2020-01-17,16.4,77.17
0.3971,2020-02-02,16.4,77.17
0.3828,2020-02-18,16.4,77.17
0.3661,2020-03-05,16.4,77.17
0.3567,2020-03-21,16.4,77.17
0.3852,2020-04-06,16.4,77.17
0.2925,2020-04-22,16.4,77.17
0.3243,2020-05-08,16.4,77.17
0.3013,2020-05-24,16.4,77.17
0.3652,2020-06-09,16.4,77.17
0.4175,2020-06-25,16.4,77.17
0.2489,2020-07-11,16.4,77.17
0.4266,2020-07-27,16.4,77.17
0.2244,2020-08-12,16.4,77.17
0.6964,2020-08-28,16.4,77.17
0.234,2020-09-13,16.4,77.17
0.6827,2020-09-29,16.4,77.17
0.6641,2020-10-15,16.4,77.17
0.6785,2020-10-31,16.4,77.17
0.6025,2020-11-16,16.4,77.17
0.6144,2020-12-02,16.4,77.17
0.5235,2020-12-18,16.4,77.17
0.5181,2021-01-01,16.4,77.17
0.4611,2021-01-17,16.4,77.17
0.4917,2021-02-02,16.4,77.17
0.444,2021-02-18,16.4,77.17
0.3852,2021-03-06,16.4,77.17
0.3672,2021-03-22,16.4,77.17
0.3455,2021-04-07,16.4,77.17
0.3592,2021-04-23,16.4,77.17
0.3898,2021-05-09,16.4,77.17
0.4078,2021-05-25,16.4,77.17
0.452,2021-06-10,16.4,77.17
0.5112,2021-06-26,16.4,77.17
0.497,2021-07-12,16.4,77.17
0.4804,2021-07-28,16.4,77.17
0.2801,2021-08-13,16.4,77.17
0.5191,2021-08-29,16.4,77.17
0.5196,2021-09-14,16.4,77.17
0.6811,2021-09-30,16.4,77.17
0.6926,2021-10-16,16.4,77.17
0.6966,2021-11-01,16.4,77.17
0.5062,2021-11-17,16.4,77.17
0.6616,2021-12-03,16.4,77.17
0.6396,2021-12-19,16.4,77.17
0.5856,2022-01-01,16.4,77.17
0.5479,2022-01-17,16.4,77.17
0.476,2022-02-02,16.4,77.17
0.3959,2022-02-18,16.4,77.17
0.4187,2022-03-06,16.4,77.17
0.3727,2022-03-22,16.4,77.17
0.3543,2022-04-07,16.4,77.17
0.3349,2022-04-23,16.4,77.17
0.3419,2022-05-09,16.4,77.17
0.3565,2022-05-25,16.4,77.17
0.3943,2022-06-10,16.4,77.17
0.1163,2022-06-26,16.4,77.17
0.2217,2022-07-12,16.4,77.17
0.5006,2022-07-28,16.4,77.17
0.4815,2022-08-13,16.4,77.17
0.5529,2022-08-29,16.4,77.17
0.5921,2022-09-14,16.4,77.17
0.6509,2022-09-30,16.4,77.17
0.7655,2022-10-16,16.4,77.17
0.6965,2022-11-01,16.4,77.17
0.6232,2022-11-17,16.4,77.17
0.5783,2022-12-03,16.4,77.17
0.5363,2022-12-19,16.4,77.17
0.5031,2023-01-01,16.4,77.17
0.4444,2023-01-17,16.4,77.17
0.3668,2023-02-02,16.4,77.17
