NDVI,date,latitude,longitude
0.3427,2010-01-01,16.01,76.42
0.298,2010-01-17,16.01,76.42
0.2448,2010-02-02,16.01,76.42
0.2472,2010-02-18,16.01,76.42
0.2447,2010-03-06,16.01,76.42
0.2339,2010-03-22,16.01,76.42
0.225,2010-04-07,16.01,76.42
0.2355,2010-04-23,16.01,76.42
0.2128,2010-05-09,16.01,76.42
0.2284,2010-05-25,16.01,76.42
0.3167,2010-06-10,16.01,76.42
0.3601,2010-06-26,16.01,76.42
0.4201,2010-07-12,16.01,76.42
0.4817,2010-07-28,16.01,76.42
0.4894,2010-08-13,16.01,76.42
0.3697,2010-08-29,16.01,76.42
0.2762,2010-09-14,16.01,76.42
0.5294,2010-09-30,16.01,76.42
0.4922,2010-10-16,16.01,76.42
0.4853,2010-11-01,16.01,76.42
0.5229,2010-11-17,16.01,76.42
0.372,2010-12-03,16.01,76.42
0.3741,2010-12-19,16.01,76.42
0.2981,2011-01-01,16.01,76.42
0.313,2011-01-17,16.01,76.42
0.2782,2011-02-02,16.01,76.42
0.255,2011-02-18,16.01,76.42
0.2501,2011-03-06,16.01,76.42
0.2526,2011-03-22,16.01,76.42
0.2378,2011-04-07,16.01,76.42
0.2327,2011-04-23,16.01,76.42
0.2526,2011-05-09,16.01,76.42
0.2605,2011-05-25,16.01,76.42
0.3078,2011-06-10,16.01,76.42
0.2944,2011-06-26,16.01,76.42
0.3095,2011-07-12,16.01,76.42
0.2738,2011-07-28,16.01,76.42
0.4149,2011-08-13,16.01,76.42
0.1802,2011-08-29,16.01,76.42
0.4997,2011-09-14,16.01,76.42
0.4532,2011-09-30,16.01,76.42
0.3861,2011-10-16,16.01,76.42
0.3319,2011-11-01,16.01,76.42
0.2981,2011-11-17,16.01,76.42
0.2848,2011-12-03,16.01,76.42
0.2451,2011-12-19,16.01,76.42
0.2451,2012-01-01,16.01,76.42
0.2272,2012-01-17,16.01,76.42
0.2226,2012-02-02,16.01,76.42
0.2215,2012-02-18,16.01,76.42
0.2261,2012-03-05,16.01,76.42
0.2177,2012-03-21,16.01,76.42
0.2207,2012-04-06,16.01,76.42
0.2172,2012-04-22,16.01,76.42
0.2305,2012-05-08,16.01,76.42
0.2031,2012-05-24,16.01,76.42
0.0732,2012-06-09,16.01,76.42
0.2052,2012-06-25,16.01,76.42
0.2132,2012-07-11,16.01,76.42
0.139,2012-07-27,16.01,76.42
0.2182,2012-08-12,16.01,76.42
0.2808,2012-08-28,16.01,76.42
0.4053,2012-09-13,16.01,76.42
0.4603,2012-09-29,16.01,76.42
0.4738,2012-10-15,16.01,76.42
0.4199,2012-10-31,16.01,76.42
0.3803,2012-11-16,16.01,76.42
0.3317,2012-12-02,16.01,76.42
0.3547,2012-12-18,16.01,76.42
0.2643,2013-01-01,16.01,76.42
0.2526,2013-01-17,16.01,76.42
0.2366,2013-02-02,16.01,76.42
0.229,2013-02-18,16.01,76.42
0.2386,2013-03-06,16.01,76.42
0.2149,2013-03-22,16.01,76.42
0.1953,2013-04-07,16.01,76.42
0.2153,2013-04-23,16.01,76.42
0.189,2013-05-09,16.01,76.42
0.1952,2013-05-25,16.01,76.42
0.2131,2013-06-10,16.01,76.42
0.2532,2013-06-26,16.01,76.42
0.15,2013-07-12,16.01,76.42
0.1632,2013-07-28,16.01,76.42
