NDVI,date,latitude,longitude
0.5937,2010-01-01,16.09,76.75
0.4837,2010-01-17,16.09,76.75
0.3206,2010-02-02,16.09,76.75
0.3085,2010-02-18,16.09,76.75
0.2665,2010-03-06,16.09,76.75
0.2428,2010-03-22,16.09,76.75
0.2456,2010-04-07,16.09,76.75
0.2608,2010-04-23,16.09,76.75
0.236,2010-05-09,16.09,76.75
0.2244,2010-05-25,16.09,76.75
0.2838,2010-06-10,16.09,76.75
0.2849,2010-06-26,16.09,76.75
0.3519,2010-07-12,16.09,76.75
0.4148,2010-07-28,16.09,76.75
0.2957,2010-08-13,16.09,76.75
0.48,2010-08-29,16.09,76.75
0.4725,2010-09-14,16.09,76.75
0.4699,2010-09-30,16.09,76.75
0.4692,2010-10-16,16.09,76.75
0.5553,2010-11-01,16.09,76.75
0.6695,2010-11-17,16.09,76.75
0.6139,2010-12-03,16.09,76.75
0.5333,2010-12-19,16.09,76.75
0.5002,2011-01-01,16.09,76.75
0.4338,2011-01-17,16.09,76.75
0.3951,2011-02-02,16.09,76.75
0.3143,2011-02-18,16.09,76.75
0.3119,2011-03-06,16.09,76.75
0.3034,2011-03-22,16.09,76.75
0.2798,2011-04-07,16.09,76.75
0.27,2011-04-23,16.09,76.75
0.2532,2011-05-09,16.09,76.75
0.2699,2011-05-25,16.09,76.75
0.304,2011-06-10,16.09,76.75
0.2451,2011-06-26,16.09,76.75
0.246,2011-07-12,16.09,76.75
0.2193,2011-07-28,16.09,76.75
0.4354,2011-08-13,16.09,76.75
0.3651,2011-08-29,16.09,76.75
0.4082,2011-09-14,16.09,76.75
0.4114,2011-09-30,16.09,76.75
0.4356,2011-10-16,16.09,76.75
0.4884,2011-11-01,16.09,76.75
0.498,2011-11-17,16.09,76.75
0.4867,2011-12-03,16.09,76.75
0.4274,2011-12-19,16.09,76.75
0.4742,2012-01-01,16.09,76.75
0.3317,2012-01-17,16.09,76.75
0.3209,2012-02-02,16.09,76.75
0.2995,2012-02-18,16.09,76.75
0.2473,2012-03-05,16.09,76.75
0.2488,2012-03-21,16.09,76.75
0.229,2012-04-06,16.09,76.75
0.2119,2012-04-22,16.09,76.75
0.2467,2012-05-08,16.09,76.75
0.2272,2012-05-24,16.09,76.75
0.2667,2012-06-09,16.09,76.75
0.206,2012-06-25,16.09,76.75
0.2942,2012-07-11,16.09,76.75
0.3089,2012-07-27,16.09,76.75
0.376,2012-08-12,16.09,76.75
0.3302,2012-09-13,16.09,76.75
0.3713,2012-09-29,16.09,76.75
0.3737,2012-10-15,16.09,76.75
0.5495,2012-10-31,16.09,76.75
0.5757,2012-11-16,16.09,76.75
0.5627,2012-12-02,16.09,76.75
0.5419,2012-12-18,16.09,76.75
0.4025,2013-01-01,16.09,76.75
0.3731,2013-01-17,16.09,76.75
0.3176,2013-02-02,16.09,76.75
0.2586,2013-02-18,16.09,76.75
0.2572,2013-03-06,16.09,76.75
0.2667,2013-03-22,16.09,76.75
0.2451,2013-04-07,16.09,76.75
0.2253,2013-04-23,16.09,76.75
0.225,2013-05-09,16.09,76.75
0.2424,2013-05-25,16.09,76.75
0.2239,2013-06-10,16.09,76.75
0.2155,2013-06-26,16.09,76.75
0.2726,2013-07-12,16.09,76.75
0.2077,2013-07-28,16.09,76.75
0.4486,2013-08-13,16.09,76.75
0.437,2013-08-29,16.09,76.75
0.4025,2013-09-14,16.09,76.75
0.3338,2013-09-30,16.09,76.75
0.4757,2013-10-16,16.09,76.75
0.514,2013-11-01,16.09,76.75
0.558,2013-11-17,16.09,76.75
0.4759,2013-12-03,16.09,76.75
0.5169,2013-12-19,16.09,76.75
0.4944,2014-01-01,16.09,76.75
0.3831,2014-01-17,16.09,76.75
0.3026,2014-02-02,16.09,76.75
0.2886,2014-02-18,16.09,76.75
0.2638,2014-03-06,16.09,76.75
0.2423,2014-03-22,16.09,76.75
0.2355,2014-04-07,16.09,76.75
0.2303,2014-04-23,16.09,76.75
0.2226,2014-05-09,16.09,76.75
0.2608,2014-05-25,16.09,76.75
0.2213,2014-06-10,16.09,76.75
0.2727,2014-06-26,16.09,76.75
0.2595,2014-07-12,16.09,76.75
0.2457,2014-07-28,16.09,76.75
0.2281,2014-08-13,16.09,76.75
0.4027,2014-08-29,16.09,76.75
0.4695,2014-09-14,16.09,76.75
0.4699,2014-09-30,16.09,76.75
0.4623,2014-10-16,16.09,76.75
0.5033,2014-11-01,16.09,76.75
0.5688,2014-11-17,16.09,76.75
0.5664,2014-12-03,16.09,76.75
0.5479,2014-12-19,16.09,76.75
0.4395,2015-01-01,16.09,76.75
0.3543,2015-01-17,16.09,76.75
0.2992,2015-02-02,16.09,76.75
0.2762,2015-02-18,16.09,76.75
0.3079,2015-03-06,16.09,76.75
0.2679,2015-03-22,16.09,76.75
0.2475,2015-04-07,16.09,76.75
0.22,2015-04-23,16.09,76.75
0.3192,2015-05-09,16.09,76.75
0.2719,2015-05-25,16.09,76.75
0.3166,2015-06-10,16.09,76.75
0.2805,2015-06-26,16.09,76.75
0.1916,2015-07-12,16.09,76.75
0.2381,2015-07-28,16.09,76.75
0.3892,2015-08-13,16.09,76.75
0.3117,2015-08-29,16.09,76.75
0.327,2015-09-14,16.09,76.75
0.4266,2015-09-30,16.09,76.75
0.447,2015-10-16,16.09,76.75
0.5052,2015-11-01,16.09,76.75
0.5492,2015-11-17,16.09,76.75
0.4953,2015-12-03,16.09,76.75
0.4186,2015-12-19,16.09,76.75
0.343,2016-01-01,16.09,76.75
0.2691,2016-01-17,16.09,76.75
0.2568,2016-02-02,16.09,76.75
0.255,2016-02-18,16.09,76.75
0.2364,2016-03-05,16.09,76.75
0.2458,2016-03-21,16.09,76.75
0.2384,2016-04-06,16.09,76.75
