NDVI,date,latitude,longitude
0.3254,2010-01-01,15.71,76.9
0.4498,2010-01-17,15.71,76.9
0.7534,2010-02-02,15.71,76.9
0.8273,2010-02-18,15.71,76.9
0.7004,2010-03-06,15.71,76.9
0.4723,2010-03-22,15.71,76.9
0.3105,2010-04-07,15.71,76.9
0.2384,2010-04-23,15.71,76.9
0.2246,2010-05-09,15.71,76.9
0.2328,2010-05-25,15.71,76.9
0.2801,2010-06-10,15.71,76.9
0.3051,2010-06-26,15.71,76.9
0.3356,2010-07-12,15.71,76.9
0.3539,2010-07-28,15.71,76.9
0.2079,2010-08-13,15.71,76.9
0.8697,2010-08-29,15.71,76.9
0.865,2010-09-14,15.71,76.9
0.7819,2010-09-30,15.71,76.9
0.8141,2010-10-16,15.71,76.9
0.5294,2010-11-01,15.71,76.9
0.3135,2010-11-17,15.71,76.9
0.2651,2010-12-03,15.71,76.9
0.225,2010-12-19,15.71,76.9
0.2472,2011-01-01,15.71,76.9
0.3955,2011-01-17,15.71,76.9
0.6417,2011-02-02,15.71,76.9
0.7894,2011-02-18,15.71,76.9
0.8753,2011-03-06,15.71,76.9
0.7916,2011-03-22,15.71,76.9
0.6399,2011-04-07,15.71,76.9
0.4327,2011-04-23,15.71,76.9
0.2819,2011-05-09,15.71,76.9
0.2455,2011-05-25,15.71,76.9
0.2317,2011-06-10,15.71,76.9
0.3314,2011-06-26,15.71,76.9
0.1301,2011-07-12,15.71,76.9
0.1478,2011-07-28,15.71,76.9
0.4583,2011-08-13,15.71,76.9
0.5099,2011-08-29,15.71,76.9
0.8454,2011-09-14,15.71,76.9
0.8793,2011-09-30,15.71,76.9
0.8208,2011-10-16,15.71,76.9
0.6449,2011-11-01,15.71,76.9
0.4904,2011-11-17,15.71,76.9
0.2962,2011-12-03,15.71,76.9
0.2639,2011-12-19,15.71,76.9
0.2639,2012-01-01,15.71,76.9
0.5346,2012-01-17,15.71,76.9
0.7491,2012-02-02,15.71,76.9
0.8166,2012-02-18,15.71,76.9
0.7259,2012-03-05,15.71,76.9
0.572,2012-03-21,15.71,76.9
0.3406,2012-04-06,15.71,76.9
0.2641,2012-04-22,15.71,76.9
0.2592,2012-05-08,15.71,76.9
0.2318,2012-05-24,15.71,76.9
0.2245,2012-06-09,15.71,76.9
0.163,2012-06-25,15.71,76.9
0.2235,2012-07-11,15.71,76.9
0.242,2012-07-27,15.71,76.9
0.0797,2012-08-12,15.71,76.9
0.3939,2012-08-28,15.71,76.9
0.7327,2012-09-13,15.71,76.9
0.8491,2012-09-29,15.71,76.9
0.8684,2012-10-15,15.71,76.9
0.717,2012-10-31,15.71,76.9
0.6356,2012-11-16,15.71,76.9
0.3154,2012-12-02,15.71,76.9
0.2346,2012-12-18,15.71,76.9
0.5217,2013-01-01,15.71,76.9
0.5776,2013-01-17,15.71,76.9
0.8467,2013-02-02,15.71,76.9
0.84,2013-02-18,15.71,76.9
0.7013,2013-03-06,15.71,76.9
0.4522,2013-03-22,15.71,76.9
0.2544,2013-04-07,15.71,76.9
0.2559,2013-04-23,15.71,76.9
0.2157,2013-05-09,15.71,76.9
0.1994,2013-05-25,15.71,76.9
0.2661,2013-06-10,15.71,76.9
0.2687,2013-06-26,15.71,76.9
0.1614,2013-07-12,15.71,76.9
0.1389,2013-07-28,15.71,76.9
0.7524,2013-08-13,15.71,76.9
0.8481,2013-08-29,15.71,76.9
0.8425,2013-09-14,15.71,76.9
0.7795,2013-09-30,15.71,76.9
0.6828,2013-10-16,15.71,76.9
0.3252,2013-11-01,15.71,76.9
0.3026,2013-11-17,15.71,76.9
0.2749,2013-12-03,15.71,76.9
0.2929,2013-12-19,15.71,76.9
