NDVI,date,latitude,longitude
0.3246,2010-01-01,16.13,77.46
0.4058,2010-01-17,16.13,77.46
0.3422,2010-02-02,16.13,77.46
0.2926,2010-02-18,16.13,77.46
0.2553,2010-03-06,16.13,77.46
0.2803,2010-03-22,16.13,77.46
0.2095,2010-04-07,16.13,77.46
0.2331,2010-04-23,16.13,77.46
0.2193,2010-05-09,16.13,77.46
0.2226,2010-05-25,16.13,77.46
0.2788,2010-06-10,16.13,77.46
0.3031,2010-06-26,16.13,77.46
0.3135,2010-07-12,16.13,77.46
0.3992,2010-07-28,16.13,77.46
0.5257,2010-08-13,16.13,77.46
0.1524,2010-08-29,16.13,77.46
0.6601,2010-09-14,16.13,77.46
0.7321,2010-09-30,16.13,77.46
0.6853,2010-10-16,16.13,77.46
0.5726,2010-11-01,16.13,77.46
0.5632,2010-11-17,16.13,77.46
0.4309,2010-12-03,16.13,77.46
0.3527,2010-12-19,16.13,77.46
0.3046,2011-01-01,16.13,77.46
0.296,2011-01-17,16.13,77.46
0.307,2011-02-02,16.13,77.46
0.2948,2011-02-18,16.13,77.46
0.317,2011-03-06,16.13,77.46
0.3312,2011-03-22,16.13,77.46
0.2859,2011-04-07,16.13,77.46
0.2618,2011-04-23,16.13,77.46
0.2639,2011-05-09,16.13,77.46
0.262,2011-05-25,16.13,77.46
0.3464,2011-06-10,16.13,77.46
0.3708,2011-06-26,16.13,77.46
0.3121,2011-07-12,16.13,77.46
0.2945,2011-07-28,16.13,77.46
0.0878,2011-08-13,16.13,77.46
0.5873,2011-08-29,16.13,77.46
0.5277,2011-09-14,16.13,77.46
0.3861,2011-09-30,16.13,77.46
0.5376,2011-10-16,16.13,77.46
0.3571,2011-11-01,16.13,77.46
0.3261,2011-11-17,16.13,77.46
0.3315,2011-12-03,16.13,77.46
0.3304,2011-12-19,16.13,77.46
0.297,2012-01-01,16.13,77.46
0.2538,2012-01-17,16.13,77.46
0.247,2012-02-02,16.13,77.46
0.2496,2012-02-18,16.13,77.46
0.2302,2012-03-05,16.13,77.46
0.2156,2012-03-21,16.13,77.46
0.238,2012-04-06,16.13,77.46
0.2366,2012-04-22,16.13,77.46
0.2383,2012-05-08,16.13,77.46
0.2506,2012-05-24,16.13,77.46
0.2113,2012-06-09,16.13,77.46
0.1875,2012-06-25,16.13,77.46
0.2838,2012-07-11,16.13,77.46
0.4621,2012-07-27,16.13,77.46
0.3559,2012-08-12,16.13,77.46
0.3446,2012-08-28,16.13,77.46
0.4043,2012-09-13,16.13,77.46
0.4514,2012-09-29,16.13,77.46
0.4224,2012-10-15,16.13,77.46
0.4124,2012-10-31,16.13,77.46
0.3747,2012-11-16,16.13,77.46
0.3044,2012-12-02,16.13,77.46
0.2599,2012-12-18,16.13,77.46
0.2682,2013-01-01,16.13,77.46
0.255,2013-01-17,16.13,77.46
0.2417,2013-02-02,16.13,77.46
0.2315,2013-02-18,16.13,77.46
0.2571,2013-03-06,16.13,77.46
0.2371,2013-03-22,16.13,77.46
0.1826,2013-04-07,16.13,77.46
0.2155,2013-04-23,16.13,77.46
0.1944,2013-05-09,16.13,77.46
0.2174,2013-05-25,16.13,77.46
0.1059,2013-06-10,16.13,77.46
0.1948,2013-06-26,16.13,77.46
0.3141,2013-07-12,16.13,77.46
0.3228,2013-07-28,16.13,77.46
0.3686,2013-08-13,16.13,77.46
0.448,2013-08-29,16.13,77.46
0.5678,2013-09-14,16.13,77.46
0.5537,2013-09-30,16.13,77.46
0.5331,2013-10-16,16.13,77.46
0.441,2013-11-01,16.13,77.46
0.3938,2013-11-17,16.13,77.46
0.3324,2013-12-03,16.13,77.46
0.3118,2013-12-19,16.13,77.46
0.3118,2014-01-01,16.13,77.46
0.3301,2014-01-17,16.13,77.46
0.3168,2014-02-02,16.13,77.46
0.2659,2014-02-18,16.13,77.46
0.2641,2014-03-06,16.13,77.46
0.2646,2014-03-22,16.13,77.46
0.265,2014-04-07,16.13,77.46
0.3017,2014-04-23,16.13,77.46
0.3669,2014-05-09,16.13,77.46
0.3428,2014-05-25,16.13,77.46
0.244,2014-06-10,16.13,77.46
0.2736,2014-06-26,16.13,77.46
0.5609,2014-07-12,16.13,77.46
0.3888,2014-07-28,16.13,77.46
0.0509,2014-08-13,16.13,77.46
0.4536,2014-08-29,16.13,77.46
0.6303,2014-09-14,16.13,77.46
0.5636,2014-09-30,16.13,77.46
0.5307,2014-10-16,16.13,77.46
0.4583,2014-11-01,16.13,77.46
0.474,2014-11-17,16.13,77.46
0.3659,2014-12-03,16.13,77.46
0.4054,2014-12-19,16.13,77.46
0.3425,2015-01-01,16.13,77.46
0.3144,2015-01-17,16.13,77.46
0.3136,2015-02-02,16.13,77.46
0.2768,2015-02-18,16.13,77.46
0.2827,2015-03-06,16.13,77.46
0.234,2015-03-22,16.13,77.46
0.2609,2015-04-07,16.13,77.46
0.2328,2015-04-23,16.13,77.46
0.2111,2015-05-09,16.13,77.46
0.2098,2015-05-25,16.13,77.46
0.2368,2015-06-10,16.13,77.46
0.2801,2015-06-26,16.13,77.46
0.2356,2015-07-12,16.13,77.46
0.1983,2015-07-28,16.13,77.46
0.3723,2015-08-13,16.13,77.46
0.4235,2015-08-29,16.13,77.46
0.6364,2015-09-14,16.13,77.46
0.5854,2015-09-30,16.13,77.46
0.5497,2015-10-16,16.13,77.46
0.4316,2015-11-01,16.13,77.46
0.3238,2015-11-17,16.13,77.46
0.3276,2015-12-03,16.13,77.46
0.2957,2015-12-19,16.13,77.46
0.2619,2016-01-01,16.13,77.46
0.2908,2016-01-17,16.13,77.46
0.2491,2016-02-02,16.13,77.46
0.2232,2016-02-18,16.13,77.46
0.2278,2016-03-05,16.13,77.46
0.2275,2016-03-21,16.13,77.46
0.2304,2016-04-06,16.13,77.46
0.2065,2016-04-22,16.13,77.46
0.213,2016-05-08,16.13,77.46
0.2032,2016-05-24,16.13,77.46
0.3842,2016-06-09,16.13,77.46
0.1571,2016-06-25,16.13,77.46
0.4063,2016-07-11,16.13,77.46
0.2893,2016-07-27,16.13,77.46
0.4657,2016-08-12,16.13,77.46
0.4785,2016-08-28,16.13,77.46
0.6545,2016-09-13,16.13,77.46
0.6248,2016-09-29,16.13,77.46
0.537,2016-10-15,16.13,77.46
0.5248,2016-10-31,16.13,77.46
0.3866,2016-11-16,16.13,77.46
0.4174,2016-12-02,16.13,77.46
0.4036,2016-12-18,16.13,77.46
0.3207,2017-01-01,16.13,77.46
0.2841,2017-01-17,16.13,77.46
0.2952,2017-02-02,16.13,77.46
0.3091,2017-02-18,16.13,77.46
0.2975,2017-03-06,16.13,77.46
0.3146,2017-03-22,16.13,77.46
0.3245,2017-04-07,16.13,77.46
0.2424,2017-04-23,16.13,77.46
0.2335,2017-05-09,16.13,77.46
0.209,2017-05-25,16.13,77.46
0.3089,2017-06-10,16.13,77.46
0.4018,2017-06-26,16.13,77.46
0.2142,2017-07-12,16.13,77.46
0.1915,2017-07-28,16.13,77.46
0.3916,2017-08-13,16.13,77.46
0.5695,2017-08-29,16.13,77.46
0.5961,2017-09-14,16.13,77.46
0.7576,2017-09-30,16.13,77.46
0.6666,2017-10-16,16.13,77.46
0.5645,2017-11-01,16.13,77.46
0.4874,2017-11-17,16.13,77.46
0.413,2017-12-03,16.13,77.46
0.3592,2017-12-19,16.13,77.46
0.3457,2018-01-01,16.13,77.46
0.3514,2018-01-17,16.13,77.46
0.3522,2018-02-02,16.13,77.46
0.3661,2018-02-18,16.13,77.46
0.3726,2018-03-06,16.13,77.46
0.2955,2018-03-22,16.13,77.46
0.2553,2018-04-07,16.13,77.46
0.2289,2018-04-23,16.13,77.46
0.2401,2018-05-09,16.13,77.46
0.1998,2018-05-25,16.13,77.46
0.2664,2018-06-10,16.13,77.46
0.3691,2018-06-26,16.13,77.46
0.1309,2018-07-12,16.13,77.46
0.3225,2018-07-28,16.13,77.46
0.3148,2018-08-13,16.13,77.46
0.3501,2018-08-29,16.13,77.46
0.3755,2018-09-14,16.13,77.46
0.4096,2018-09-30,16.13,77.46
0.3217,2018-10-16,16.13,77.46
0.2892,2018-11-01,16.13,77.46
0.2705,2018-11-17,16.13,77.46
0.3111,2018-12-03,16.13,77.46
0.2647,2018-12-19,16.13,77.46
0.2647,2019-01-01,16.13,77.46
0.2311,2019-01-17,16.13,77.46
0.215,2019-02-02,16.13,77.46
0.2165,2019-02-18,16.13,77.46
0.221,2019-03-06,16.13,77.46
0.2157,2019-03-22,16.13,77.46
0.1862,2019-04-07,16.13,77.46
0.2012,2019-04-23,16.13,77.46
0.2066,2019-05-09,16.13,77.46
0.1868,2019-05-25,16.13,77.46
0.2392,2019-06-10,16.13,77.46
0.0708,2019-06-26,16.13,77.46
0.2408,2019-07-12,16.13,77.46
0.0982,2019-07-28,16.13,77.46
0.3865,2019-08-13,16.13,77.46
0.3367,2019-08-29,16.13,77.46
0.4916,2019-09-14,16.13,77.46
0.602,2019-09-30,16.13,77.46
0.5832,2019-10-16,16.13,77.46
0.6521,2019-11-01,16.13,77.46
0.4265,2019-11-17,16.13,77.46
0.3303,2019-12-03,16.13,77.46
0.3607,2019-12-19,16.13,77.46
0.3401,2020-01-01,16.13,77.46
0.3085,2020-01-17,16.13,77.46
0.267,2020-02-02,16.13,77.46
0.2513,2020-02-18,16.13,77.46
0.2764,2020-03-05,16.13,77.46
0.245,2020-03-21,16.13,77.46
0.2578,2020-04-06,16.13,77.46
0.236,2020-04-22,16.13,77.46
0.226,2020-05-08,16.13,77.46
0.2523,2020-05-24,16.13,77.46
0.3359,2020-06-09,16.13,77.46
0.3333,2020-06-25,16.13,77.46
0.5375,2020-07-11,16.13,77.46
0.4617,2020-07-27,16.13,77.46
0.5374,2020-08-12,16.13,77.46
0.6802,2020-08-28,16.13,77.46
0.2979,2020-09-13,16.13,77.46
0.5081,2020-09-29,16.13,77.46
0.6432,2020-10-15,16.13,77.46
0.5578,2020-10-31,16.13,77.46
0.4974,2020-11-16,16.13,77.46
0.5252,2020-12-02,16.13,77.46
0.4287,2020-12-18,16.13,77.46
0.3931,2021-01-01,16.13,77.46
0.3575,2021-01-17,16.13,77.46
0.4386,2021-02-02,16.13,77.46
0.4907,2021-02-18,16.13,77.46
0.3472,2021-03-06,16.13,77.46
0.2901,2021-03-22,16.13,77.46
0.3885,2021-04-07,16.13,77.46
