NDVI,date,latitude,longitude
0.3827,2010-01-01,16.22,77.03
0.3628,2010-01-17,16.22,77.03
0.2792,2010-02-02,16.22,77.03
0.3034,2010-02-18,16.22,77.03
0.2869,2010-03-06,16.22,77.03
0.2732,2010-03-22,16.22,77.03
0.247,2010-04-07,16.22,77.03
0.2342,2010-04-23,16.22,77.03
0.2387,2010-05-09,16.22,77.03
0.239,2010-05-25,16.22,77.03
0.316,2010-06-10,16.22,77.03
0.3043,2010-06-26,16.22,77.03
0.3159,2010-07-12,16.22,77.03
0.3541,2010-07-28,16.22,77.03
0.3853,2010-08-13,16.22,77.03
0.4638,2010-08-29,16.22,77.03
0.615,2010-09-14,16.22,77.03
0.5313,2010-09-30,16.22,77.03
0.5881,2010-10-16,16.22,77.03
0.5598,2010-11-01,16.22,77.03
0.5068,2010-11-17,16.22,77.03
0.4323,2010-12-03,16.22,77.03
0.3178,2010-12-19,16.22,77.03
0.3096,2011-01-01,16.22,77.03
0.3112,2011-01-17,16.22,77.03
0.2599,2011-02-02,16.22,77.03
0.2782,2011-02-18,16.22,77.03
0.2671,2011-03-06,16.22,77.03
0.2895,2011-03-22,16.22,77.03
0.3132,2011-04-07,16.22,77.03
0.2712,2011-04-23,16.22,77.03
0.2423,2011-05-09,16.22,77.03
0.2701,2011-05-25,16.22,77.03
0.2689,2011-06-10,16.22,77.03
0.1634,2011-06-26,16.22,77.03
0.224,2011-07-12,16.22,77.03
0.1018,2011-07-28,16.22,77.03
0.061,2011-08-13,16.22,77.03
0.1985,2011-08-29,16.22,77.03
0.3858,2011-09-14,16.22,77.03
0.5101,2011-09-30,16.22,77.03
0.5357,2011-10-16,16.22,77.03
0.5665,2011-11-01,16.22,77.03
0.5802,2011-11-17,16.22,77.03
0.5388,2011-12-03,16.22,77.03
0.4976,2011-12-19,16.22,77.03
0.4976,2012-01-01,16.22,77.03
0.4176,2012-01-17,16.22,77.03
0.3056,2012-02-02,16.22,77.03
0.2768,2012-02-18,16.22,77.03
0.3201,2012-03-05,16.22,77.03
0.2742,2012-03-21,16.22,77.03
0.2573,2012-04-06,16.22,77.03
0.2276,2012-04-22,16.22,77.03
0.2551,2012-05-08,16.22,77.03
0.2147,2012-05-24,16.22,77.03
0.2144,2012-06-09,16.22,77.03
0.2288,2012-06-25,16.22,77.03
0.2255,2012-07-11,16.22,77.03
0.2639,2012-07-27,16.22,77.03
0.2912,2012-08-12,16.22,77.03
0.2179,2012-08-28,16.22,77.03
0.386,2012-09-13,16.22,77.03
0.5473,2012-09-29,16.22,77.03
0.5686,2012-10-15,16.22,77.03
0.6143,2012-10-31,16.22,77.03
0.4685,2012-11-16,16.22,77.03
0.5028,2012-12-02,16.22,77.03
0.4337,2012-12-18,16.22,77.03
0.4673,2013-01-01,16.22,77.03
0.3782,2013-01-17,16.22,77.03
0.306,2013-02-02,16.22,77.03
0.3718,2013-02-18,16.22,77.03
0.3246,2013-03-06,16.22,77.03
0.3166,2013-03-22,16.22,77.03
0.2142,2013-04-07,16.22,77.03
0.2313,2013-04-23,16.22,77.03
0.2268,2013-05-09,16.22,77.03
0.2333,2013-05-25,16.22,77.03
0.2734,2013-06-10,16.22,77.03
0.2638,2013-06-26,16.22,77.03
0.2243,2013-07-12,16.22,77.03
0.1507,2013-07-28,16.22,77.03
0.3442,2013-08-13,16.22,77.03
0.4601,2013-08-29,16.22,77.03
0.4951,2013-09-14,16.22,77.03
0.6599,2013-09-30,16.22,77.03
0.5846,2013-10-16,16.22,77.03
0.5708,2013-11-01,16.22,77.03
0.5825,2013-11-17,16.22,77.03
0.5466,2013-12-03,16.22,77.03
0.4593,2013-12-19,16.22,77.03
0.3755,2014-01-01,16.22,77.03
0.4157,2014-01-17,16.22,77.03
0.3831,2014-02-02,16.22,77.03
0.3263,2014-02-18,16.22,77.03
0.3646,2014-03-06,16.22,77.03
0.3438,2014-03-22,16.22,77.03
0.3046,2014-04-07,16.22,77.03
0.2924,2014-04-23,16.22,77.03
